Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ona Batlle,DF,22,4,4,390,4.3,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,11,41,27,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25,Matches
Patricia Guijarro,MF,23,4,4,390,4.3,0,0,0,0,0,0,0,0,0.4,0.4,1.6,1.9,6,35,14,0.00,0.00,0.00,0.00,0.00,0.09,0.40,0.49,0.09,0.49,Matches
Mapi León,DF,26,4,4,390,4.3,0,2,2,0,0,0,1,0,0.4,0.4,0.6,1.0,8,47,0,0.00,0.46,0.46,0.00,0.46,0.10,0.15,0.25,0.10,0.25,Matches
Sandra Paños,GK,29,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Irene Paredes,DF,30,4,4,390,4.3,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,8,45,1,0.23,0.00,0.23,0.23,0.23,0.21,0.06,0.28,0.21,0.28,Matches
Aitana Bonmatí,MF,24,4,4,378,4.2,1,0,1,1,0,0,0,0,0.6,0.6,0.7,1.2,9,30,35,0.24,0.00,0.24,0.24,0.24,0.15,0.18,0.32,0.15,0.32,Matches
Mariona Caldentey,MF,25,4,4,362,4.0,1,1,2,0,1,1,0,0,1.8,1.0,1.4,2.4,20,31,40,0.25,0.25,0.50,0.00,0.25,0.44,0.36,0.80,0.25,0.60,Matches
Leila Ouahabi,DF,28,3,3,195,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,6,9,28,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
Lucía García,FW,23,3,3,191,2.1,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.1,3,1,9,0.47,0.00,0.47,0.47,0.47,0.48,0.02,0.50, Matches
Esther González,FW,29,3,2,199,2.2,1,0,1,1,0,0,0,0,1.0,1.0,0.3,1.2,2,5,17,0.45,0.00,0.45,0.45,0.45,0.44,0.11,0.56,0.44,0.56,Matches 
Sheila García,MF,24,4,2,188,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,15,8,33,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30,Matches
Athenea del Castillo,MF,21,4,1,187,2.1,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.7,15,2,22,0.00,0.48,0.48,0.00,0.48,0.14,0.26,0.40,0.14,0.40,Matches 
Olga Carmona,DF,21,2,1,165,1.8,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,4,5,13,0.00,0.55,0.55,0.00,0.55,0.16,0.13,0.29,0.16,0.29,Matches 
Laia Aleixandri,MF,21,4,1,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches 
Marta Cardona,MF,26,4,1,123,1.4,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,6,0,20,0.73,0.00,0.73,0.73,0.73,0.55,0.00,0.55,0.55,0.55,Matches 
Teresa Abelleira,MF,22,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches 
Irene Guerrero,MF,25,2,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,4,3,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.23,0.15,0.23,Matches 
Claudia Pina,FW,20,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19,Matches 
Amaiur Sarriegi,FW,21,1,0,21,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,Matches 
Misa Rodríguez,GK,22,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,Matches 
Ivana Andrés,DF,27,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Matches 
Dolores Gallardo,GK,28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Matches 
Andrea Pereira,DF,28,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Matches 
Squad Total,0,25.5,4,44,390,4.3,6,5,11,5,1,1,4,0,8.2,7.4,6.7,14.1,115,271,270,1.38,1.15,2.54,1.15,2.31,1.89,1.54,3.44,1.71,3.26,
Opponent Total,0,27.1,4,44,390,4.3,5,3,8,5,0,0,5,0,4.3,4.3,3.2,7.5,32,91,90,1.15,0.69,1.85,1.15,1.85,0.98,0.75,1.73,0.98,1.73, Matches
