Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches 
Irene Paredes,DF,31,7,7,660,7.3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,11,57,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches 
Jennifer Hermoso,MF,33,7,7,646,7.2,3,2,5,3,0,2,0,0,4.6,3.0,1.9,5.0,11,54,51,0.42,0.28,0.70,0.42,0.70,0.67,0.28,0.96,0.44,0.73,Matches 
Ona Batlle,DF,24,7,7,612,6.8,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,39,59,48,0.00,0.15,0.15,0.00,0.15,0.03,0.13,0.17,0.03,0.17,Matches 
Teresa Abelleira,MF,23,7,7,600,6.7,1,1,2,1,0,0,0,0,0.3,0.3,2.5,2.8,7,60,9,0.15,0.15,0.30,0.15,0.30,0.05,0.39,0.44,0.05,0.44,Matches 
Aitana Bonmatí,MF,25,7,7,582,6.5,3,2,5,3,0,0,0,0,2.0,2.0,1.5,3.5,21,64,49,0.46,0.31,0.77,0.46,0.77,0.32,0.22,0.54,0.32,0.54,Matches 
Salma Paralluelo,FW,19,7,5,459,5.1,2,0,2,2,0,0,1,0,1.6,1.6,2.3,3.8,17,9,81,0.39,0.00,0.39,0.39,0.39,0.33,0.47,0.81,0.33,0.81,Matches 
Mariona Caldentey,FW,27,6,5,448,5.0,1,1,2,0,1,1,0,0,1.9,1.1,0.9,2.0,13,36,48,0.20,0.20,0.40,0.00,0.20,0.38,0.17,0.56,0.22,0.40,Matches 
Olga Carmona,DF,23,6,5,435,4.8,2,0,2,2,0,0,1,0,0.4,0.4,1.2,1.6,16,23,25,0.41,0.00,0.41,0.41,0.41,0.08,0.27,0.35,0.08,0.35,Matches 
Alba Redondo,FW,26,7,4,393,4.4,3,1,4,3,0,0,0,0,4.5,4.5,0.4,4.9,4,6,45,0.69,0.23,0.92,0.69,0.92,1.03,0.10,1.13,1.03,1.13, Matches
Cata Coll,GK,22,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches 
Laia Codina,DF,23,4,4,328,3.6,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,11,1,0.27,0.00,0.27,0.27,0.27,0.10,0.00,0.10,0.10,0.10,Matches 
Misa Rodríguez,GK,23,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches 
Esther González,FW,30,5,3,234,2.6,1,0,1,1,0,0,0,0,2.6,2.6,0.1,2.7,4,5,16,0.38,0.00,0.38,0.38,0.38,1.00,0.05,1.05,1.00,1.05,Matches 
Alexia Putellas,MF,29,7,3,212,2.4,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.2,5,19,26,0.00,0.42,0.42,0.00,0.42,0.18,0.39,0.57,0.18,0.57,Matches 
Oihane Hernández,DF,23,6,2,304,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,10,23,19,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches 
Ivana Andrés,DF,28,4,2,242,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,10,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches 
Rocío Gálvez,DF,26,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches 
Athenea del Castillo,FW,22,3,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,2,14,0.00,0.00,0.00,0.00,0.00,0.06,0.52,0.58,0.06,0.58, Matches
Eva Navarro,FW,22,5,0,140,1.6,0,2,2,0,0,0,0,0,0.3,0.3,1.6,1.9,5,3,26,0.00,1.29,1.29,0.00,1.29,0.25,1.18,1.43,0.25,1.43,Matches 
Irene Guerrero,MF,26,3,0,78,0.9,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,2,6,1,0.00,0.00,0.00,0.00,0.00,1.22,0.48,1.71,1.22,1.71,Matches 
Claudia Zornoza,MF,32,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches 
María Pérez,MF,21,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches 
Enith Salón,GK,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches 
Squad Total,0,25.6,7,77,660,7.3,17,11,28,16,1,3,4,0,20.4,18.1,14.2,32.3,180,468,462,2.32,1.50,3.82,2.18,3.68,2.78,1.94,4.73,2.46,4.40,0
Opponent Total,0,26.3,7,77,660,7.3,6,6,12,6,0,0,5,0,4.0,4.0,3.2,7.2,56,153,150,0.82,0.82,1.64,0.82,1.64,0.54,0.44,0.98,0.54,0.98,0
